name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,code,position,init_price,team_code
Zack Steffen,0,0,0,0,0.0,538,145,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,4,0,0,0,0,15,0,2232,0,2,0.0,0,-2,60,62,45,True,0,STFNSK,164484,1,44,43
Fabricio Agosto RamÃ­rez,0,0,0,0,0.0,171,141,0,0,0.0,0.0,2020-12-26T15:00:00Z,0,20,0,0,0,0,15,0,126636,0,0,0.0,0,-186,1878,2064,40,True,0,AKSTFPRSRMRS,40559,1,39,54
Mark Noble,0,0,4,0,16.9,427,147,1,0,2.1,4.0,2020-12-27T14:15:00Z,45,36,0,0,0,0,15,0,32358,2,2,0.0,1,104,1407,1303,46,True,0,MRKNPL,18073,3,45,21
Bernardo Mota Veiga de Carvalho e Silva,0,0,8,1,7.9,281,145,0,0,2.6,2.8,2020-12-26T20:00:00Z,90,4,0,0,0,0,15,0,40228,0,2,15.0,3,741,2953,2212,74,True,0,PRNRTKRFLTMTSLFFK,165809,3,74,43
Jordan Henderson,0,0,18,0,29.4,244,144,1,0,5.3,21.0,2020-12-27T16:30:00Z,90,35,0,0,0,0,15,0,127527,1,1,3.0,2,34062,39161,5099,54,True,0,HNTRSNJRTN,56979,3,54,14
Curtis Jones,0,0,12,0,11.3,263,144,1,0,2.1,9.4,2020-12-27T16:30:00Z,82,35,0,0,0,0,15,0,127894,1,1,0.0,2,17572,28601,11029,44,True,0,KRTSJNS,206915,3,44,14
William Saliba,0,0,0,0,0.0,27,139,0,0,0.0,0.0,2020-12-26T17:30:00Z,0,8,0,0,0,0,15,0,52792,1,3,0.0,0,-655,1646,2301,40,True,0,SLPLM,462424,2,40,3
Pascal Struijk,0,1,27,1,0.1,211,142,0,0,2.4,23.6,2020-12-27T12:00:00Z,90,90,0,0,0,0,15,0,173864,0,1,0.0,7,13465,21838,8373,39,True,0,PSKLSTRK,222694,2,40,2
Matt Ritchie,0,0,2,0,0.7,322,145,2,0,0.3,2.4,2020-12-26T20:00:00Z,65,43,0,0,0,0,15,0,3324,0,2,0.0,1,-33,137,170,49,False,1,MTRX,56983,3,49,4
Gary Cahill,0,0,0,0,0.0,125,140,0,0,0.0,0.0,2020-12-26T15:00:00Z,0,7,0,0,0,0,15,0,10443,0,3,0.0,0,-975,1238,2213,45,False,0,KHLKR,19419,2,45,31
Joel Ward,0,0,11,0,3.2,134,140,3,0,1.8,12.2,2020-12-26T15:00:00Z,90,7,0,0,0,0,15,0,57808,0,3,3.0,0,-1139,2058,3197,43,False,1,JLRT,55494,2,43,31
Karl Darlow,0,0,17,0,0.0,325,145,2,0,3.1,31.4,2020-12-26T20:00:00Z,90,43,0,0,0,0,15,4,127233,0,2,0.0,2,-13974,1872,15846,50,False,0,TRLKRL,59735,1,49,4
Toby Alderweireld,0,0,0,0,0.0,386,148,0,0,0.0,0.0,2020-12-27T19:15:00Z,0,39,0,0,0,0,15,0,126361,1,1,0.0,0,872,6167,5295,54,False,0,ALTRRLTTP,55605,2,54,6
Joe Bryan,0,0,0,0,0.0,182,141,0,0,0.0,0.0,2020-12-26T15:00:00Z,0,20,0,0,0,0,15,0,26493,0,0,0.0,0,-764,200,964,46,True,0,PRNJ,101105,2,45,54
Shane Long,0,0,5,1,3.0,361,141,0,0,1.8,5.8,2020-12-26T15:00:00Z,90,54,0,0,0,0,15,0,44762,0,0,9.0,2,-54,2463,2517,51,False,0,LNKXN,20452,4,51,20
Bernd Leno,0,1,27,0,0.0,8,139,1,0,3.6,35.6,2020-12-26T17:30:00Z,90,8,0,0,1,0,15,2,532869,1,3,0.0,8,-44555,3358,47913,49,True,0,PRNTLN,80201,1,50,3
Ivan Ricardo Neves Abreu Cavaleiro,0,0,-3,1,12.1,187,141,0,0,2.4,5.8,2020-12-26T15:00:00Z,90,20,0,0,0,0,15,0,11815,0,0,6.0,3,-3625,228,3853,53,True,0,APRKFLRFNNFSRKRT,166324,3,53,54
Luke Ayling,0,0,26,1,13.2,197,142,0,0,3.8,25.2,2020-12-27T12:00:00Z,90,90,0,0,0,0,15,0,280490,0,1,0.0,6,-7903,12657,20560,45,True,0,ALNKLK,66588,2,44,2
Jesse Lingard,0,0,0,0,0.0,301,143,0,0,0.0,0.0,2020-12-26T12:30:00Z,0,13,0,0,0,0,15,0,10738,2,2,0.0,0,-36,267,303,59,False,0,JSLNKRT,109322,3,66,21
Robbie Brady,0,0,0,0,0.0,95,142,0,0,0.0,0.0,2020-12-27T12:00:00Z,0,2,0,0,0,0,15,0,4795,0,1,0.0,0,-264,420,684,50,False,0,PRTRP,90517,3,50,90
Neil Taylor,0,0,0,0,0.0,31,140,0,0,0.0,0.0,2020-12-26T15:00:00Z,0,31,0,0,0,0,15,0,14946,0,3,0.0,0,-27,910,937,43,True,0,NLTLR,47390,2,42,7
Jamie Vardy,1,0,10,0,2.2,224,143,2,0,3.6,0.4,2020-12-26T12:30:00Z,90,1,0,0,0,0,15,0,1975640,2,2,33.0,5,-100730,81523,182253,101,True,0,JMFRT,101668,4,102,13
Tyrick Mitchell,0,0,0,0,0.0,146,140,0,0,0.0,0.0,2020-12-26T15:00:00Z,0,7,0,0,0,0,15,0,1169158,0,3,0.0,0,-34239,42889,77128,39,False,0,MXLTRK,244723,2,38,31
Neco Williams,0,0,0,0,0.0,264,144,0,0,0.0,0.0,2020-12-27T16:30:00Z,0,35,0,0,0,0,15,0,407293,1,1,0.0,0,-10205,19209,29414,40,True,0,NKLMS,215136,2,38,14
Jeff Hendrick,0,0,0,0,0.0,485,145,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,43,0,0,0,0,15,0,175333,0,2,0.0,0,-5193,9945,15138,47,False,0,HNTRKJF,83314,3,45,4
LÃ©o Bonatini,0,0,0,0,0.0,463,148,0,0,0.0,0.0,2020-12-27T19:15:00Z,0,6,0,0,0,0,15,0,10028,1,1,0.0,0,-152,26,178,48,True,0,PNTNL,141569,4,48,39
Ethan Ampadu,0,0,13,0,2.9,509,146,1,0,2.4,12.8,2020-12-26T20:00:00Z,90,11,0,0,0,0,15,0,33052,1,0,8.0,2,1464,2702,1238,43,True,0,AMPT0N,199598,2,43,49
Ãaglar SÃ¶yÃ¼ncÃ¼,0,0,0,0,0.0,238,143,0,0,0.0,0.0,2020-12-26T12:30:00Z,0,1,0,0,0,0,15,0,212200,2,2,0.0,0,-5606,85,5691,53,True,0,AKLRSNK,218031,2,53,13
Mace Goodridge,0,0,0,0,0.0,551,142,0,0,0.0,0.0,2020-12-27T12:00:00Z,0,2,0,0,0,0,15,0,781,0,1,0.0,0,12,69,57,45,False,0,KTRJMS,195064,3,45,90
Youri Tielemans,0,1,22,0,4.6,228,143,2,0,3.9,18.0,2020-12-26T12:30:00Z,90,1,0,0,0,0,15,0,171276,2,2,16.0,3,-11906,6347,18253,64,True,0,TLMNSR,166989,3,64,13
Oliver Burke,0,0,1,0,2.0,424,146,0,0,2.7,6.0,2020-12-26T20:00:00Z,45,11,0,0,0,0,15,0,192210,1,0,19.0,1,26141,41105,14964,44,True,0,PRKLFR,197937,3,41,49
Bruno Miguel Borges Fernandes,1,3,39,0,40.4,302,143,2,1,14.6,58.4,2020-12-26T12:30:00Z,90,13,0,0,0,0,15,0,3359878,2,2,47.0,12,88219,201910,113691,110,False,1,PRJSPRNFRNNTSMKL,141746,3,113,1
Illan Meslier,0,3,38,1,0.0,213,142,0,0,4.5,45.0,2020-12-27T12:00:00Z,90,90,0,0,0,0,15,6,433220,0,1,0.0,11,8746,25540,16794,46,True,0,ALNMSL,437495,1,48,2
