assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,position,init_price,team_code,gw,id,total_points,total_points_1,total_points_2,total_points_3,total_points_4
0,0,0,0,0.0,535,379,0,0,0.0,0.0,0,49,0,0,0,0,0,8015,1.0,3.0,0.0,109,259,150,44,1,0,4.0,44.0,20.0,38,200088,-999,-999,-999,-999,-999
0,0,0,0,0.0,620,373,0,0,0.0,0.0,0,31,0,0,0,0,0,0,3.0,5.0,0.0,0,0,0,45,0,0,3.0,45.0,91.0,38,200370,-999,-999,-999,-999,-999
0,0,0,0,0.0,531,19,0,0,0.0,0.0,0,20,0,0,0,0,0,466,2.0,1.0,0.0,245,308,63,45,0,0,1.0,44.0,14.0,2,200720,0,0,0,0,0
0,0,0,0,0.0,531,24,0,0,0.0,0.0,0,3,0,0,0,0,0,677,1.0,3.0,0.0,-100,87,187,45,1,0,1.0,44.0,14.0,3,200720,0,0,0,0,0
0,0,0,0,0.0,531,32,0,0,0.0,0.0,0,90,0,0,0,0,0,923,3.0,0.0,0.0,-77,62,139,45,0,0,1.0,44.0,14.0,4,200720,0,0,0,0,0
0,0,0,0,0.0,531,44,0,0,0.0,0.0,0,4,0,0,0,0,0,1156,1.0,3.0,0.0,-58,48,106,45,1,0,1.0,44.0,14.0,5,200720,0,0,0,0,0
0,0,0,0,0.0,531,53,0,0,0.0,0.0,0,8,0,0,0,0,0,1301,2.0,1.0,0.0,-14,48,62,45,0,0,1.0,44.0,14.0,6,200720,0,0,0,0,0
0,0,0,0,0.0,531,68,0,0,0.0,0.0,0,49,0,0,0,0,0,1457,1.0,0.0,0.0,-25,76,101,45,0,0,1.0,44.0,14.0,7,200720,0,0,0,0,0
0,0,0,0,0.0,531,74,0,0,0.0,0.0,0,13,0,0,0,0,0,1558,1.0,2.0,0.0,-35,40,75,45,1,0,1.0,44.0,14.0,8,200720,0,0,0,0,0
0,0,0,0,0.0,531,87,0,0,0.0,0.0,0,1,0,0,0,0,0,1728,1.0,1.0,0.0,-9,61,70,45,0,0,1.0,44.0,14.0,9,200720,0,0,0,0,0
0,0,0,0,0.0,531,94,0,0,0.0,0.0,0,6,0,0,0,0,0,1755,1.0,2.0,0.0,-44,18,62,45,1,0,1.0,44.0,14.0,10,200720,0,0,0,0,0
0,0,0,0,0.0,531,102,0,0,0.0,0.0,0,7,0,0,0,0,0,1868,2.0,1.0,0.0,-12,51,63,45,0,0,1.0,44.0,14.0,11,200720,0,0,0,0,0
0,0,0,0,0.0,531,114,0,0,0.0,0.0,0,43,0,0,0,0,0,1940,1.0,3.0,0.0,-27,40,67,45,1,0,1.0,44.0,14.0,12,200720,0,0,0,0,0
0,0,0,0,0.0,531,125,0,0,0.0,0.0,0,31,0,0,0,0,0,1946,2.0,1.0,0.0,-81,48,129,45,0,0,1.0,44.0,14.0,13,200720,0,0,0,0,-999
0,0,0,0,0.0,531,134,0,0,0.0,0.0,0,36,0,0,0,0,0,1912,1.0,2.0,0.0,-43,16,59,45,1,0,1.0,44.0,14.0,14,200720,0,0,0,-999,0
0,0,0,0,0.0,531,149,0,0,0.0,0.0,0,11,0,0,0,0,0,1898,2.0,5.0,0.0,-17,13,30,45,1,0,1.0,44.0,14.0,15,200720,0,0,-999,0,0
0,0,0,0,0.0,531,152,0,0,0.0,0.0,0,91,0,0,0,0,0,1923,3.0,0.0,0.0,-2,15,17,44,0,0,1.0,44.0,14.0,16,200720,0,-999,0,0,0
0,0,0,0,0.0,531,166,0,0,0.0,0.0,0,57,0,0,0,0,0,1966,0.0,2.0,0.0,-10,22,32,44,1,0,1.0,44.0,14.0,17,200720,-999,0,0,0,0
0,0,0,0,0.0,531,186,0,0,0.0,0.0,0,13,0,0,0,0,0,2024,4.0,0.0,0.0,8,24,16,44,0,0,1.0,44.0,14.0,19,200720,0,0,0,0,0
0,0,0,0,0.0,531,194,0,0,0.0,0.0,0,39,0,0,0,0,0,2036,0.0,1.0,0.0,-8,19,27,44,1,0,1.0,44.0,14.0,20,200720,0,0,0,0,0
0,0,0,0,0.0,531,204,0,0,0.0,0.0,0,49,0,0,0,0,0,2051,0.0,2.0,0.0,-20,18,38,44,1,0,1.0,44.0,14.0,21,200720,0,0,0,0,0
0,0,0,0,0.0,531,219,0,0,0.0,0.0,0,6,0,0,0,0,0,2107,1.0,0.0,0.0,-12,31,43,44,0,0,1.0,44.0,14.0,22,200720,0,0,0,0,0
0,0,0,0,0.0,531,224,0,0,0.0,0.0,0,1,0,0,0,0,0,2115,0.0,2.0,0.0,-34,28,62,44,1,0,1.0,44.0,14.0,23,200720,0,0,0,0,0
0,0,0,0,0.0,531,180,0,0,0.0,0.0,0,21,0,0,0,0,0,2096,2.0,0.0,0.0,-40,9,49,44,0,0,1.0,44.0,14.0,24,200720,0,0,0,0,0
0,0,0,0,0.0,531,237,0,0,0.0,0.0,0,39,0,0,0,0,0,2096,2.0,1.0,0.0,-40,9,49,44,0,0,1.0,44.0,14.0,24,200720,0,0,0,0,0
0,0,0,0,0.0,531,245,0,0,0.0,0.0,0,20,0,0,0,0,0,2104,0.0,4.0,0.0,-27,15,42,44,1,0,1.0,44.0,14.0,25,200720,0,0,0,0,0
0,0,0,0,0.0,531,257,0,0,0.0,0.0,0,45,0,0,0,0,0,2110,1.0,0.0,0.0,-20,9,29,44,0,0,1.0,44.0,14.0,26,200720,0,0,0,0,0
0,0,0,0,0.0,531,266,0,0,0.0,0.0,0,21,0,0,0,0,0,2154,2.0,3.0,0.0,-2,11,13,44,1,0,1.0,44.0,14.0,27,200720,0,0,0,0,0
0,0,0,0,0.0,531,279,0,0,0.0,0.0,0,57,0,0,0,0,0,2164,0.0,3.0,0.0,-13,7,20,44,0,0,1.0,44.0,14.0,28,200720,0,0,0,0,0
0,0,0,0,0.0,531,286,0,0,0.0,0.0,0,91,0,0,0,0,0,2183,1.0,2.0,0.0,0,21,21,44,1,0,1.0,44.0,14.0,29,200720,0,0,0,0,0
0,0,0,0,0.0,531,294,0,0,0.0,0.0,0,11,0,0,0,0,0,2382,0.0,0.0,0.0,141,266,125,44,0,0,1.0,44.0,14.0,30,200720,0,0,0,0,0
0,0,0,0,0.0,531,304,0,0,0.0,0.0,0,31,0,0,0,0,0,2361,0.0,4.0,0.0,-43,25,68,44,1,0,1.0,44.0,14.0,31,200720,0,0,0,0,0
0,0,0,0,0.0,531,317,0,0,0.0,0.0,0,43,0,0,0,0,0,2381,0.0,4.0,0.0,-7,19,26,44,0,0,1.0,44.0,14.0,32,200720,0,0,0,0,0
